sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
Can anyone give me any tips?,0.7385985885905436,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02883519
Nothing exciting but better than nothing!,0.7369146975836491,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01138997
Not a sound disturbed the night.,0.7407492010884572,disturbed,,,torontoadv.6.047740,torontoadv.807327
Or perhaps the distinction is blurred?,0.7411593968087115,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01200954
Or perhaps someone purposefully implanted it.,0.741945413010527,perhaps,,,torontofantasy.6.076876,torontofantasy.1138058
Four of those are already sold.,0.7394647771768748,already,,,cocaspok2004.6.004555,cocaspok2004.0071190
"And besides, it had been satisfying.",0.7321036934074107,besides,,,torontomyst.6.089536,torontomyst.1204279
No surprise perhaps to most people.,0.7361161889922995,perhaps,,,cocaspok2009.6.008519,cocaspok2009.0109651
Theyll be a very strong company.,0.7288281105505053,strong,,,cocaspok2001.6.002252,cocaspok2001.0039924
They send frequent health messages also.,0.7393742406894862,frequent,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03056467
Broad or complex understanding of health.,0.7397120983339108,broad,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03670792
How much could one person endure?,0.7349146023252385,endure,,,torontomyst.6.063829,torontomyst.887322
"Reliable, Secure and No Paperwork Needed!",0.7369494601127894,secure,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04388867
But I had already designed it.,0.739850491698462,already,,,torontomyst.6.000589,torontomyst.10435
You can still find that kind.,0.7416413361014526,still,,,cocaspok1995.6.006264,cocaspok1995.077744
I never felt so clean before.,0.7355091574244659,clean,,,cornellmov.6.004633,cornellmov.0026113
You are too valuable to quit.,0.7342621805750472,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02908180
Perhaps if he'd let them retreat...,0.7373283589052696,perhaps,,,torontofantasy.6.164155,torontofantasy.2229945
"I was still standing, still fighting.",0.7417934008025516,"still,still",,,torontofantasy.6.106244,torontofantasy.1532140
Then you must make all speed.,0.7415911943305517,must,,,torontofantasy.6.483370,torontofantasy.6302254
I can't get hold of him.,0.7418648204386195,hold,,,cornellmov.6.032957,cornellmov.0200356
But they were still out there.,0.7389919816982339,still,,,torontofantasy.6.170161,torontofantasy.2304322
"Better strategies, better plans, better projects.",0.7392966395578567,"better,better,better",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01371165
It is so simple to clean.,0.7302877294556701,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00923544
We are also strong community supporters.,0.7372538373030179,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01471259
Patience was never her strong point.,0.738230073451181,strong,,,torontofantasy.6.429558,torontofantasy.5666045
He was still lamenting its loss.,0.7423242443859365,still,,,torontoadv.6.006886,torontoadv.117276
Perhaps it won't even be news.,0.7405097965276528,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03677227
"Well, that must feel pretty good.",0.7417517080208956,must,,,cocaspok2002.6.000746,cocaspok2002.0013331
You've had plenty of time already!,0.7404960731798091,already,,,cornellmov.6.015356,cornellmov.0087672
Almost time for him to leave.,0.7401898315314503,"almost,leave",,,torontomyst.6.048761,torontomyst.682834
He was determined to fulfill it.,0.7318817323822633,determined,,,torontofantasy.6.091278,torontofantasy.1344099
There we rebuilt every single one.,0.7370247399590278,every,,,torontofantasy.6.058039,torontofantasy.839967
"Comprehension of short, easy personal letters.",0.7417723393286154,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01177478
But they hold up remarkably well.,0.7331620514365785,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02636848
"Well, you can describe it accurately.",0.7276352606245217,describe,,,cocaspok2007.6.003143,cocaspok2007.0038767
Poppa's going to be here soon.,0.7399997392729358,soon,,,torontomyst.6.090119,torontomyst.1212351
Therefore to hold meetings by them.,0.7298490152712754,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01201833
Throwing the fan - what's the outcome??,0.7409723316108802,outcome,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03758919
Let's give the events a recap.,0.7415648552317163,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01662155
History is full of contrary evidence:,0.7361230943467336,full,,,wsj.6.001927,wsj.347894
It only took a brief moment.,0.7341076791642912,brief,,,torontofantasy.6.033060,torontofantasy.479788
"Statistically, we may be safe somewhat.",0.7239095783934465,somewhat,,,cocaspok1999.6.003229,cocaspok1999.0043756
He was able to give directions.,0.7298775111544296,give,,,torontomyst.6.001995,torontomyst.29208
You must not fixate on them.,0.7328650697934895,must,,,torontofantasy.6.205639,torontofantasy.2783725
But it wasn't easy for him.,0.7346861329656104,easy,,,cocaspok2011.6.010241,cocaspok2011.0130760
"A remarkable piece of writing, indeed!",0.7328544415322821,remarkable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00614896
Time for a brief time out.,0.7396737376767625,brief,,,cocaspok2004.6.004957,cocaspok2004.0077635
Detailed conclusion recaps arguments and evidence.,0.7361932763619778,detailed,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04060091
They have not been the problem.,0.7336999448832845,problem,,,cocaspok1993.6.009132,cocaspok1993.0127932
I just wanted to hurt him.,0.7392556903118356,hurt,,,torontomyst.6.063013,torontomyst.875853
Focus on quality rather than quantity.,0.7270000243765006,focus,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00227621
It makes the situation extremely dangerous.,0.7391854389112199,extremely,,,cocaspok1993.6.006849,cocaspok1993.0087754
Those should be up very soon.,0.7316450221632199,soon,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04815392
I can't imagine life without them.,0.7403887536999281,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04021718
We are afraid of any engineering.,0.729610746947138,afraid,,,cocaspok1998.6.009912,cocaspok1998.0132401
We must give time for time.,0.7419621519362519,"must,give",,,cornellmov.6.015535,cornellmov.0088676
It was very easy to manage.,0.7247370558754288,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04906722
It's almost embarrassing to all concerned.,0.7413305968771499,"almost,concerned",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00542606
We've tried escalation four times already.,0.7408965288940494,already,,,cocaspok2007.6.001785,cocaspok2007.0022163
Puppies are totally capable of learning.,0.7333670238590527,capable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04266046
Every part of it was delightful.,0.7385273886303972,"every,delightful",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01592383
Because they have already earned enough.,0.7418463886611479,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02171126
He'll kill every one of them.,0.7326181310310916,every,,,torontofantasy.6.417246,torontofantasy.5472287
Nothing you would find very remarkable.,0.7333083687307965,remarkable,,,torontofantasy.6.321986,torontofantasy.4221480
We'd be forced to land anyway.,0.7362109207148159,forced,,,torontomyst.6.124476,torontomyst.1633221
We're - - still perfecting a viewing system.,0.7392964277962981,"still,viewing",,,cornellmov.6.033227,cornellmov.0201963
Not to give you a message.,0.7318307820269564,give,,,torontofantasy.6.434406,torontofantasy.5724274
You are quite sure it's secure?,0.7346293980088702,secure,,,cornellmov.6.006865,cornellmov.0039444
They want to give to society.,0.7398956445464041,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02833630
They wanted a more exact match.,0.7394680862208003,exact,,,torontomyst.6.123689,torontomyst.1623633
And so every state is different.,0.7401122799853684,every,,,cocaspok2011.6.001500,cocaspok2011.0018582
But give it to me again.,0.739040852643956,give,,,cornellmov.6.034138,cornellmov.0208051
Their collaboration has been extremely successful.,0.7211007689019229,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04907159
Others are afraid of losing them.,0.7213329948070276,afraid,,,cocaspok1992.6.005108,cocaspok1992.0066708
And increasingly those pleasures were youthful.,0.732258971568596,pleasures,,,cocaspok2004.6.007044,cocaspok2004.0106832
I just couldn't leave without it.,0.7422691816046874,leave,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01369339
It saddened me to leave it.,0.7352642242125597,leave,,,torontoadv.6.055217,torontoadv.919964
That would be disturbing to me.,0.7273519680924075,disturbing,,,cocaspok1997.6.005653,cocaspok1997.0068200
Maybe this'll make you feel better.,0.7394087339669293,better,,,cornellmov.6.012024,cornellmov.0068349
Can a bru53x replace a bru5g?,0.741718601122409,replace,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01782355
Event staff can provide referral information.,0.7358098340505936,event,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00052498
"Actually, is very easy to make!",0.7314760335492778,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00935467
Do not have to be precise.,0.7348979939647512,precise,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02968827
Souls feel a lot of sorrow.,0.7289032742934235,sorrow,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00956678
The text wasn't easy for me.,0.7417785005366776,easy,,,torontofantasy.6.241948,torontofantasy.3213130
"Besides, you might even learn something.",0.7407054829244869,besides,,,cornellmov.6.037305,cornellmov.0228490
Omago asked with a puzzled frown.,0.741945960226413,frown,,,torontofantasy.6.417555,torontofantasy.5479459
I was so ashamed and frightened.,0.73655054210774,frightened,,,cocaspok2006.6.009677,cocaspok2006.0144862
But we will not offer terms.,0.735633396935786,"offer,terms",,,torontofantasy.6.478686,torontofantasy.6227385
Certain skills you just never forgot.,0.7400001234492158,certain,,,torontofantasy.6.337942,torontofantasy.4439123
They're frightened out of their minds!,0.7325607508473019,frightened,,,torontofantasy.6.123211,torontofantasy.1710807
I hope you fulfill the longing.,0.7380406159057578,longing,,,cocaspok2001.6.006468,cocaspok2001.0099327
More like extremely happy and confident.,0.7410212666278677,extremely,,,torontofantasy.6.283581,torontofantasy.3691185
The last notice should be noted.,0.7401137558204596,last,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04000667
Hold on just for a second.,0.7397490859743577,hold,,,cocaspok1996.6.006081,cocaspok1996.0074932
Mercy would be getting up soon.,0.7363984916128428,soon,,,torontofantasy.6.037611,torontofantasy.559190
They were concerned about various politicians.,0.7322017965866497,concerned,,,cocaspok2010.6.006144,cocaspok2010.0080316
How are we going to cope?,0.7406679135725301,cope,,,cornellmov.6.002404,cornellmov.0013613
We played some games of chance.,0.7364520282985203,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01504769
Would he be contacting me soon?,0.7374759384629493,soon,,,torontofantasy.6.312321,torontofantasy.4099535
I'll get you some quick work .,0.742171015830459,quick,,,cornellmov.6.010620,cornellmov.0060200
It was a very sad life.,0.7407860523457245,life,,,cocaspok2000.6.006914,cocaspok2000.0110062
He was still going to lose.,0.7421326391909698,still,,,torontofantasy.6.206100,torontofantasy.2789148
"For instance, accounts have account owners.",0.7419057432623789,instance,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04294259
Two heads work better than one.,0.7390102955523571,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03436244
I can't confirm that for certain.,0.7422670827581163,certain,,,cocaspok2009.6.000407,cocaspok2009.0004073
Because that would be too easy.,0.7362326442388204,easy,,,cornellmov.6.010998,cornellmov.0062310
Else I'd still be locked up.,0.7390565514762509,still,,,torontofantasy.6.232466,torontofantasy.3099045
Such a clean and simple method!,0.7285668953770404,"such,clean",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03864728
The most economical seat we offer.,0.7321102085682182,offer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03008606
Purchase energy efficient equipment whenever possible.,0.7263399749001621,whenever,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04761154
"Our strong point, our value proposition.",0.7369794358771157,strong,,,cocaspok2005.6.005684,cocaspok2005.0089127
Better if I just show you.,0.7384886978788338,better,,,cornellmov.6.001484,cornellmov.0008126
It must be getting more serious.,0.7303687490436471,"must,serious",,,brown.6.001172,brown.023082
You must not diverge any further.,0.7311177530498608,must,,,torontofantasy.6.152299,torontofantasy.2072808
It might be too late already.,0.7401691431678681,"late,already",,,cornellmov.6.023739,cornellmov.0141422
Perhaps one or two stayed behind.,0.7357654719380241,perhaps,,,torontoadv.6.032901,torontoadv.565382
I'd always give them their due.,0.7294362510101399,give,,,cocaspok2001.6.001607,cocaspok2001.0029119
No obstacles remained ahead of her.,0.7266557682483298,remained,,,torontofantasy.6.325226,torontofantasy.4255488
They've got a very strong theme.,0.7358405576726904,strong,,,cocaspok2007.6.005948,cocaspok2007.0079628
"Still talking, but unable to hear.",0.7303036551862644,still,,,torontofantasy.6.029004,torontofantasy.422983
What you describe is not unusual.,0.7396253112354308,"describe,unusual",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03924043
They must not come to harm..,0.7397000113725776,must,,,torontofantasy.6.462577,torontofantasy.6015944
Public in a timely a manner.,0.7261367263103985,manner,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04151379
Everyone wants to protect me lately.,0.7398032100649897,everyone,,,torontofantasy.6.178851,torontofantasy.2435901
"Through interpreter Perhaps more, perhaps less.",0.7412169616837674,"perhaps,perhaps",,,cocaspok1993.6.004599,cocaspok1993.0057903
And for you could be free.,0.7419972749293685,free,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02633234
His voice was full of concern.,0.7368438537391858,full,,,torontofantasy.6.229738,torontofantasy.3069087
He forced you to crave him.,0.7422463933282164,forced,,,torontofantasy.6.134026,torontofantasy.1835671
They played cards for several hours.,0.7423756344624749,played,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01632667
That would perhaps eliminate the will.,0.7372767829492538,perhaps,,,cocaspok1993.6.002509,cocaspok1993.0034546
God knows he'd been hurt enough.,0.7405470027284565,hurt,,,torontomyst.6.067306,torontomyst.933118
Not a hint of life remained.,0.7330890853104263,"life,remained",,,torontofantasy.6.353621,torontofantasy.4646449
Is that easy enough for you?,0.7322657845781017,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00942275
Or arrogantly presuming I desire you?,0.7420710509353404,desire,,,torontofantasy.6.303233,torontofantasy.3971005
But I forced myself to breathe.,0.7331902856769447,forced,,,torontofantasy.6.294818,torontofantasy.3852621
But whenever he was with her...,0.7373308276126984,whenever,,,torontofantasy.6.223939,torontofantasy.2998495
Well we must be missing somebody.,0.732914832915852,must,,,cocaspok2006.6.006656,cocaspok2006.0104979
The firing was brief and precise.,0.7281416466663201,"brief,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00168008
People are afraid to be different.,0.7217057645770834,afraid,,,cocaspok1996.6.000271,cocaspok1996.0004288
Would you accept extremely difficult instead?,0.7201138560121559,extremely,,,torontofantasy.6.414306,torontofantasy.5431444
Certainly it is a formal step.,0.7346870036450591,formal,,,cocaspok2006.6.005379,cocaspok2006.0086254
Panic rooted me to the spot.,0.7375221788418718,spot,,,torontofantasy.6.105109,torontofantasy.1516304
I had a very secure feeling.,0.7252615867493475,secure,,,cocaspok2008.6.002598,cocaspok2008.0032561
He has a very powerful ship.,0.7323957773032493,powerful,,,cornellmov.6.018481,cornellmov.0107256
They are tending to the wounded.,0.7351588337699041,wounded,,,cocaspok1998.6.010182,cocaspok1998.0137229
We know it will be delightful.,0.7372874849248526,delightful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01098782
The remnants of a life raft.,0.741948843339498,life,,,cornellmov.6.035431,cornellmov.0216208
It also promotes critical thinking skills.,0.7399933234216848,critical,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04116842
I tried for a quick recovery.,0.7324100846465917,quick,,,torontofantasy.6.456849,torontofantasy.5933636
This was a very strong case.,0.7367805239141116,strong,,,cocaspok1998.6.004789,cocaspok1998.0064464
"First of all, we are bewildered.",0.7389734043292367,bewildered,,,cocaspok1998.6.002043,cocaspok1998.0028465
"Quoting is easy, painless and precise.",0.741710973872087,"easy,precise",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03075842
The usual chatter has been suspended.,0.7365681461471237,suspended,,,torontofantasy.6.151496,torontofantasy.2061992
Hail is a particularly strong foe.,0.7414809135545798,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00145152
Chemically we are already quite sympathetic.,0.727639122339465,already,,,cornellmov.6.022327,cornellmov.0132074
Thanks every one for your suggestions.,0.7372195815222945,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02320321
Confirm that the list is accurate.,0.7368278183477095,accurate,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03164416
Quick with a moral and advice.,0.73857376704561,quick,,,torontofantasy.6.205154,torontofantasy.2778295
You must not have heard me.,0.7391880111355595,must,,,cocaspok1994.6.005443,cocaspok1994.0069214
A surprising and extremely unusual strategy.,0.7287210137110213,"extremely,unusual",,,cocaspok2011.6.000304,cocaspok2011.0003285
I believe we can be better.,0.7384440570442647,better,,,cocaspok1992.6.003918,cocaspok1992.0050518
The guards won't be any problem.,0.7258663087734357,problem,,,torontofantasy.6.411167,torontofantasy.5387658
I'm still trying to catch up.,0.7374205988442696,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00447156
I guarantee you will feel better.,0.7305599803073082,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04457050
Both companies will sell the software.,0.7401528963517046,sell,,,wsj.6.000878,wsj.159865
Some of them are extremely tall.,0.7281322641292994,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03144900
"I heard them leave, of course.",0.7389943811938092,leave,,,torontofantasy.6.420979,torontofantasy.5552131
But it was not peaceful sleep.,0.737391101614512,peaceful,,,torontofantasy.6.031921,torontofantasy.465730
Every sort of inner organ imaginable.,0.7360758620669507,every,,,torontofantasy.6.112614,torontofantasy.1613822
Better to get rid of me.,0.7361490505085261,better,,,cornellmov.6.024582,cornellmov.0146982
And they had many phone conferences.,0.7420735428929907,conferences,,,cocaspok2005.6.004551,cocaspok2005.0072043
"Public intimidation, violation of protective order.",0.7374345617577026,protective,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01830944
"However, it was easy to move!",0.73209567266836,easy,,,torontofantasy.6.023547,torontofantasy.347685
I've tried every sort of cable.,0.7413273628777172,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01184854
"Always smile, never be too serious.",0.7259153832706774,serious,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03545498
Well... So you tried riding again?,0.7414726660326667,riding,,,cornellmov.6.009874,cornellmov.0056235
You must not be thinking clearly.,0.722916936679721,must,,,cornellmov.6.039685,cornellmov.0244223
Trouble viewing or accessing a service?,0.7350625672031449,viewing,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01912464
As opposed to being more spiritual.,0.7339499744501784,opposed,,,cocaspok2009.6.005958,cocaspok2009.0076118
It's been a shock to everyone.,0.7358976568721239,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04845097
The pressure must have been enormous.,0.7333704280368152,"must,enormous",,,cocaspok2003.6.006201,cocaspok2003.0094285
They're not going to hurt me.,0.7384087053156626,hurt,,,torontofantasy.6.267301,torontofantasy.3521680
It should leave a clear trail.,0.741404669827233,leave,,,torontofantasy.6.322226,torontofantasy.4223409
Let me give you a hypothetical.,0.738657454331864,give,,,torontomyst.6.035551,torontomyst.503582
Change them if they become damp.,0.7294959357285996,"become,damp",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03398446
Its remains are still visible today.,0.7378484335246269,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04583692
We are responsive to community concerns.,0.7222538353990569,responsive,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00125036
Our police are afraid of them.,0.7286916750306167,afraid,,,cornellmov.6.025351,cornellmov.0152088
It must be close to dawn.,0.7389314890787196,must,,,torontofantasy.6.336350,torontofantasy.4412462
We understand it's a serious amount.,0.7421655925096182,serious,,,cocaspok1998.6.000854,cocaspok1998.0012851
Repeat if needed for full coverage.,0.7407264070329201,full,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02244582
